ID,Date,Category,Amount,Description,Created At
exp_8dz5d55rm,2026-07-24,Transport,40,Friday night snacks,2026-08-06T03:45:33.043Z
exp_c6rc5gpoo,2026-07-24,Transport,23,Kr Puram to offive,2026-08-06T03:43:00.467Z
exp_n6lurhl77,2026-07-24,Transport,24,Office to kr puram,2026-08-06T03:43:38.840Z
exp_nf6q5lg05,2026-07-24,Transport,60,Metro to kadugodi,2026-08-06T03:46:41.957Z
exp_p0kjwlolo,2026-07-24,Shopping,233,Zepto,2026-08-06T08:47:40.979Z
exp_0cfiuuf96,2026-07-23,Transport,23,Metro to kadugodi,2026-08-06T03:29:40.948Z
exp_3kx1hpeox,2026-07-23,Transport,20,Metro to Indra Nagar,2026-08-06T03:28:07.541Z
exp_bopxiswpe,2026-07-23,Food,100,Office lunch,2026-08-06T03:31:34.861Z
exp_cxhbco3v7,2026-07-23,Transport,12,Bus to itpl movie night,2026-08-06T03:40:23.797Z
exp_wgagx73no,2026-07-23,Food,24,Pg to office by bus,2026-08-06T03:31:13.527Z
exp_wy76i72b4,2026-07-23,Transport,41,Bus to pg from office,2026-08-06T03:39:52.595Z
exp_gp8at9ifi,2026-07-22,Shopping,55,Home store,2026-08-06T03:26:21.570Z
exp_2ziofaqyb,2026-07-20,Travel,472,Bus to Bangalore,2026-07-28T02:42:13.379Z
exp_yy4wc5km3,2026-07-19,Shopping,140,Home store,2026-07-28T02:41:12.548Z
exp_7v7hrde5t,2026-07-17,Shopping,30,Home store,2026-07-28T02:39:19.159Z
exp_mz679v2yc,2026-07-17,Shopping,150,Home store,2026-07-28T02:40:28.494Z
exp_0zd6p627z,2026-07-16,Others,40000,Salary to dad,2026-08-07T03:37:06.243Z
exp_g01pnkx98,2026-07-16,Shopping,230,Home store,2026-07-27T13:47:50.648Z
exp_3kbv3hna9,2026-07-15,Transport,24,Pg to office,2026-07-27T13:44:10.711Z
exp_8lj0zy5ql,2026-07-15,Transport,150,Slipper delivery,2026-07-27T13:45:43.244Z
exp_f0f6m0cas,2026-07-15,Transport,30,Office to multiplex,2026-07-27T13:46:27.542Z
exp_ejl15xqvs,2026-07-14,Transport,35,Pg to office,2026-07-27T13:42:13.160Z
exp_fkk1phx8m,2026-07-14,Food,50,Office idly,2026-07-27T13:43:26.011Z
exp_wcoiu243w,2026-07-14,Transport,35,Office to pg,2026-07-27T13:43:45.995Z
exp_nmwfdh3hu,2026-07-13,Travel,450,Redbus to Coimbatore,2026-07-27T13:41:24.908Z
exp_xgmgh0gtz,2026-07-13,Others,30,Unknown,2026-07-27T13:40:38.600Z
exp_mnso9zipx,2026-07-12,Food,154,Zepto,2026-08-06T08:46:40.995Z
exp_f49tkwmmj,2026-07-11,Others,2454,Movie date Silver,2026-07-27T13:34:13.918Z
exp_peo1eabn8,2026-07-11,Transport,60,Movie Date Metro to kadukodi tree park,2026-07-27T13:35:29.283Z
exp_pul33t10a,2026-07-11,Food,30,Movie date water bottle,2026-07-27T13:32:33.223Z
exp_vaayohbuv,2026-07-11,Food,100,Movie date lunch,2026-07-27T13:33:25.092Z
exp_7xpgp2me0,2026-07-10,Transport,40,Kr Puram to indranagar,2026-07-27T13:29:27.934Z
exp_b5e5hu5v3,2026-07-10,Transport,60,Indranagar to kagudikodi tree park,2026-07-27T13:30:46.542Z
exp_glxa0b2c7,2026-07-10,Transport,50,Kadugodi to kr puram,2026-07-11T14:38:38.088Z
exp_j6fg7cwex,2026-07-10,Transport,15,Kr Puram to kadubhesnahalli,2026-07-11T14:40:56.015Z
exp_jmu4tgamj,2026-07-10,Others,4159,Teju jumkha grt,2026-07-11T14:40:09.537Z
exp_mq4502y0u,2026-07-10,Food,24,Kr Puram cookies,2026-07-27T13:28:41.839Z
exp_r2ipr579r,2026-07-10,Transport,23,Office to kr puram,2026-07-27T13:27:57.276Z
exp_svwzf5433,2026-07-10,Entertainment,359,Gatta Kusthi Movie,2026-07-27T13:31:27.525Z
exp_xqd6m2j6z,2026-07-10,Transport,18,Kr Puram to marathahalli,2026-07-11T14:39:16.119Z
exp_639l5yp2h,2026-07-08,Transport,35,Office to pg,2026-07-11T14:37:38.151Z
exp_8b09z61zn,2026-07-08,Others,50,Did trim,2026-07-11T14:34:48.833Z
exp_ad423c2db,2026-07-08,Housing,11270,Pg rent,2026-07-28T02:36:45.409Z
exp_cpcsxtxr4,2026-07-08,Transport,35,Pg to office,2026-07-11T14:35:32.497Z
exp_v6utjm461,2026-07-07,Food,284,Manis biriyani with boys,2026-07-11T14:30:07.932Z
exp_0h9bhob5s,2026-07-06,Others,5000,Sri Kumaran chit,2026-07-06T06:34:27.833Z
exp_5hq7d634f,2026-07-06,Others,5000,Suja akka chit,2026-07-06T06:34:55.298Z
exp_5yk3q46kc,2026-07-05,Transport,12,Bus from KR Puram to Mahadev puram,2026-07-05T13:54:24.902Z
exp_mcpy9t0pu,2026-07-05,Transport,100,Metro kr Puram to kadukodi tree park,2026-07-05T13:53:42.844Z
exp_3skehch6a,2026-07-04,Transport,48,Tin factory to hebbal,2026-07-04T16:32:35.263Z
exp_ag1e29b6v,2026-07-04,Transport,24,Chikkajalla to hunsmaranahalli,2026-07-04T16:34:47.558Z
exp_bmgu1phet,2026-07-04,Transport,50,Kadukodi tree park to KR Puram,2026-07-04T16:27:30.818Z
exp_h0qloxnsv,2026-07-04,Transport,60,Indara nagar to kadukodi tree park,2026-07-04T16:42:36.231Z
exp_i74xp8j29,2026-07-04,Transport,48,Hebbal to Tinfactory,2026-07-04T16:36:40.897Z
exp_kk5y68e1n,2026-07-04,Shopping,999,Trends Footwear,2026-07-04T16:22:17.643Z
exp_kzc8t4i7n,2026-07-04,Transport,40,Tin factory to Indhra Nagar,2026-07-04T16:37:50.034Z
exp_m0azms6dv,2026-07-04,Food,355,Nike lunch,2026-07-04T16:35:22.350Z
exp_o62765bp8,2026-07-04,Transport,56,Hebbal to chikkajalla,2026-07-04T16:33:26.960Z
exp_r1l9ho19c,2026-07-04,Food,60,Nandini Coconut Icecream,2026-07-04T16:38:57.257Z
exp_0er572jqn,2026-07-03,Transport,60,Indhra Nagar to Kadugodi metro,2026-07-04T16:26:42.469Z
exp_mc8jpwc1z,2026-07-03,Food,533,Manis,2026-07-04T16:25:34.687Z
exp_q76aec3qy,2026-07-03,Transport,6,Office to kalamandir,2026-07-04T16:24:46.377Z
exp_yssj1fuxt,2026-07-03,Transport,23,Kr Puram to office,2026-07-03T09:41:46.040Z
exp_zgfjbpmpl,2026-07-03,Food,60,Biscuit for akka,2026-07-03T09:41:07.290Z
exp_df4bx9ehs,2026-07-02,Others,100,Donated to small kid to save her life,2026-07-02T06:18:57.985Z
exp_iug0kjn8d,2026-07-02,Transport,35,Bus from BPL to Kadubeeshnahalli,2026-07-02T03:23:51.653Z
exp_jy93gyytc,2026-07-02,Transport,24,Office to pg by bus,2026-07-02T08:29:22.927Z
exp_o1oqo5ebk,2026-07-01,Others,8555,Chit money for June month to Lakshmi akka,2026-07-01T02:35:46.148Z
exp_pv5izkwq9,2026-07-01,Education,10000,For Pooji College Fees,2026-07-01T02:42:43.200Z
exp_v96b6rrsq,2026-07-01,Housing,4750,Air Conditioner EMI for July Month,2026-07-01T02:51:25.732Z
